"doc_id","text"
1396360856548507648,"update peringatan cuaca wilayah jabodetabek tgl mei pkl wib prakirawan bmkg pusat "
1396360798188883968,"peringatan cuaca wilayah jabodetabek mei selengkapnya klik tautan "
1396358443590590464,"peringatan cuaca wilayah kepulauan bangka belitung mei selengkapnya klik tautan "
1396357985769644032,"peringatan cuaca wilayah banten mei selengkapnya klik tautan "
1396357261702823936,"peringatan cuaca wilayah papua barat mei selengkapnya klik tautan "
1396356885062713344,"update peringatan cuaca wilayah banten tgl mei pkl wib prakirawan bmkg banten "
1396355426308923392,"peringatan cuaca wilayah jawa timur mei selengkapnya klik tautan "
1396352604192473088,"peringatan cuaca wilayah jawa mei selengkapnya klik tautan "
1396351439945945088,"update peringatan cuaca wilayah jawa tgl mei pkl wib prakirawan bmkg jawa "
1396345068424888320,"peringatan cuaca wilayah kalimantan selatan mei selengkapnya klik tautan "
1396344113616670720,"update peringatan cuaca wilayah jabodetabek tgl mei pkl wib prakirawan bmkg pusat "
1396342461576871936,"peringatan cuaca wilayah lampung mei selengkapnya klik tautan "
1396340508436295680,"peringatan cuaca wilayah gorontalo mei selengkapnya klik tautan "
1396340376709918720,"peringatan cuaca wilayah kalimantan timur mei selengkapnya klik tautan "
1396339026802614272,"peringatan cuaca wilayah nusa tenggara barat mei selengkapnya klik tautan "
1396337733509865472,"peringatan cuaca wilayah jawa timur mei selengkapnya klik tautan "
1396329903209943040,"peringatan cuaca wilayah kepulauan bangka belitung mei selengkapnya klik tautan "
1396328028045598720,"peringatan cuaca wilayah maluku mei selengkapnya klik tautan "
1396327169886883840,"update peringatan cuaca wilayah jabodetabek tgl mei pkl wib prakirawan bmkg pusat "
1396326971827646464,"peringatan cuaca wilayah jabodetabek mei selengkapnya klik tautan "
1396315581905727488,"peringatan cuaca wilayah gorontalo mei selengkapnya klik tautan "
1396313926283927552," mag mei wib lok ls bt km baratlaut sumurbanten kedlmn km tdk berpotensi tsunami "
1396313912618881024," magnitudo kedalaman km mei wib koordinat ls bt km baratlaut sumurbanten berpotensi tsunami "
1396313032335060992," magnitudo kedalaman km mei wib koordinat ls bt km baratlaut sumurbanten berpotensi tsunami "
1396313014509326336," mag mei wib lok ls bt km baratlaut sumurbanten kedlmn km tdk berpotensi tsunami "
1396297437900275712,"peringatan cuaca wilayah maluku mei selengkapnya klik tautan "
1396291681213829120,"peringatan cuaca wilayah kalimantan timur mei selengkapnya klik tautan "
1396286732941754368," magnitudo kedalaman km mei wib koordinat lu bt km timurlaut melonguanesulut berpotensi tsunami "
1396286631695437824," mag mei wib lok lu bt km timurlaut melonguanesulut kedlmn km tdk berpotensi tsunami "
1396285770730598400,"peringatan cuaca wilayah kepulauan riau mei selengkapnya klik tautan "
1396285183188369408,"peringatan cuaca wilayah kepulauan riau mei selengkapnya klik tautan "
1396269829372342272,"peringatan cuaca wilayah kalimantan mei selengkapnya klik tautan "
1396269568977375232,"peringatan cuaca wilayah kalimantan selatan mei selengkapnya klik tautan "
1396264779170205696,"peringatan cuaca wilayah kepulauan bangka belitung mei selengkapnya klik tautan "
