"text","class_label"
84,"the best chess app lots ways practice players computer puzzles timed puzzles lessons etc i also love can play real life pass play mode highly recommend"
85,"one stupid things happening when thinking castle instead decide move rook click castleling fking annoying im freaking mad lose please add additional option id rather click extra button lose accfull review"
86,"this chess game app absolutely awesome everything chess game app cool finest features variants chess lover much weightage given make newbies learn good chess hats devs tournaments also i know works im beginner level"
87,"no words loving superb app very effecient ai features cool everything awesome just one requirement app icon update better colors selection home page design good design lacking"
88,"good overall like d view importantly new games need confirm screen just instantly throw match ur assuming i just automatically know clicking start game option means"
89,"great app problems except mobile version theres big says current puzzle rating home screen fantastic highly recommend"
90,"i normally enjoy playing week now glitches bad i able play i just uninstaller gonna redownload see fixes issues although i see others complaining things itvlooks like just "
91,"one problem log i use vpn this annoying i use time one suggestion give options timeout notification daily games maybe multiple notifications just hours left"
92,"incredible amount users using engine unpunished consistent bugs starting match just opened app used pay subscription never if i play elo feels accounts elos"
93,"only matches worth playing minute matches people stall constantly every match getting punished i remember many matches ive one move away winning just opponent let time expire wanted punish winning minute matcfull review"
94,"its okay app quite bugs mainly playing ai it makes quite illegal moves i move pawn a a beside pawn b he moves b a takes a pawn gives mistake theres quite just repeatable"
95,"the app surffers one major disadvantage stalling game i opponent tried cheese blunder queen next mn nothing timer runs "
96,"its good application learn chess can also analysis mistakes game will improve lot game play time"
97,"cant find games just loads ever update it started loading games i anything make happen just started working "
98,"hey team the online mode search players works matches can never play compete online and guess latest update th may messed please fix asap revert older one"
99,"i started playing chess earlier year i love way app makes learning easy puzzles games available addicting best chess app around ufd"
100,"i recommend game anyone the developer game seems change certain chess rules like way king moves the game rules work according developer game according actual chess "
101,"best regards makers you really helped advance chess skills career high levels not good pc version better nothing go i use time you regret time"
102," chess tutorials puzzles etc give stars features website variants"
103,"great app learn chess play bots friends people around world i really enjoy lessons puzzles"
104,"i regularly disconnect recently although i internet i can connect websites wifi mobile data timer only reinstall app helps"
105,"many times supports player sec remaining i sec last i loose match possible premium pack u got extra time cheating money u buy extra help developers"
106,"deserves zero stars extremely difficult move pieces no one premove allowed analysis often wrong apparently lasy updates completely trashed app"
107,"amazing chess app can play chess people around world friends you can daily puzzles daily chess lessons thank "
108,"downloaded january i learn play chess months later i fairly decent chess great app learning whether novice well versed"
109,"it lagging much now internet connection fine still shows game abandoned stuck page disappointed restart phone play game happening many time"
110,"i trouble analysis board i play puzzles puzzle rush make really quick moves sometimes says i made wrong move i works except great"
111,"i lost connection even though i reconnected game visible therefore i lost time there continuous game list"
112,"the bots excellent can play time offline ive never played bots feel like personality come close"
113,"theres alot like easy use navigate get play people globe match fair length game can easily changed"
114,"this one best chess apps ive ever used i gone rating peak ratingi really recommend beginnersit just let play people lets learn aswell"
115,"the free version good membership excellent im really enjoying lessons videos unlimited puzzles"
116,"brilliant app premium bit pricey really well put together app plenty extras training puzzles etc plus analysis features brilliant"
117,"app work anymore since days possible find games the app just stays idle searching screen matter que"
118,"worst app even though net speed good i unable play single game since day even though brother able play game phone using hotspot and also i updated app regularly"
119,"really enjoyed game recently every game i won never showed victory message just stopped clocks i resigned now last day said invalid login token given load games "
120,"very fun entertaining game anyone loves game chess i suggest download i issue way make friends people either nerver get request able accept invite"
121,"this app started behave weird recent time time app responding closes immediately i try open app crash not sure app software update causing issue phone supported latest versions"
122,"the game good but computer never accepts defeat everytime i close defeating just king i pieces claims draw"
