"doc_id","screen_name","text"
"1420998685119287299","jawapos","Marak Isu Pungli Pemakaman Covid-19, Kapolres Malang Lakukan Ini https://t.co/EqtH2KHTAA"
"1420967907702411267","jawapos","Pemkot Medan Laporkan Cadangan Vaksin Covid-19 Minim https://t.co/h8R2nXPajC"
"1420989544141258758","jawapos","Habis-Habisan, Penanganan Covid-19 di Surabaya Kuras Dana Trilunan https://t.co/053DxqCGPI"
"1421013708235448323","jawapos","Angka Korban Meninggal Tinggi, Satgas Covid-19 Perlu Lebih Represif https://t.co/K1wBoyuT5w"
"1420996058587357191","jawapos","Kasus Naik Tanpa Terprediksi, Jokowi Keluhkan Covid-19 Varian Delta https://t.co/dkaCkLIfZo"
"1420988176445804551","jawapos","Pengusaha Dorong UMKM dan Startup Bantu Masyarakat Terdampak Covid-19 https://t.co/NErUdbQom4"
"1421005623194312704","jawapos","Presiden Jokowi Klaim Lompatan Kasus COVID-19 Bisa Direm karena PPKM https://t.co/q9Am3dMIaZ"
"1420965766195650567","jawapos","Vaksinasi Covid-19 Dosis Pertama di Bali Lampaui 100 Persen  https://t.co/XPJTkt659Q"
"1420960990603059201","jawapos","Kasus Covid di Luar Jawa Naik, Jokowi: Varian Delta Memang Cepat Sekali https://t.co/vtqPJM2hh2"
"1421023962490818570","zulaikharajni","@berlianidris Kalo udh vaksin pertama terus kena covid, katanya baru bisa vaksin lagi after 3 bulan. Pkonya dimanapun kalian berada tetap patuhi prokes, minum vit, makan bergizi tambah minum susu entrasol platinum gizinya komplit, tinggi protein dan vit D jg #AkhirnyaNegatif"
"1421023956065157121","lilythefollower","@SecComMY Kenapa mesti nak tutup periuk nasi rakyat? Dah lah zaman covid kacau pulak kiteorang nak buat duit sikit2 <U+0001F92C><U+0001F92C><U+0001F92C><U+0001F92C><U+0001F92C>"
